Job,Salary,Company,Location
Business Data Analyst,,IBM de México,Jal.
Data Analyst Jr,,Softtek,N.L.
People Data Analyst,"$18,000 - $20,000  Mensual",PODER JUSTO S.A.P.I. de C.V.,CDMX
HR Data Analyst,"$18,000 - $25,000  Mensual",Adecco,CDMX
Sr. Data Analyst,,AutoZone,Chih.
Data Analyst - Compliance,,,Ciudad de México
Data Analyst & Modeler,,Indra,Ciudad de México
IT Data analyst,"$17,000 - $22,000  Mensual",,Son.
Master data analyst,,Eaton Corporation,Qro.
Business Data Analyst,"$26,000 - $28,000  Mensual","AIG Seguros Mexico, SA de C.V.",CDMX
Data Analyst Jr,"$28,000 - $35,000  Mensual",AXA,CDMX
Data Analyst (Web Analyst),"$130,000 - $145,000  Mensual",Starkejobs SC,México
Reporting Data Analyst SQL,,HERBALIFE INTERNACIONAL DE MEXICO ...,Jal.
Sr. Data Analyst-11,,Banamex,México
Finance and Data Analyst,,Medica Santa Carmen SAPI de CV,Qro.
Data Analyst ETL Remoto,"$39,000 - $40,000  Mensual","Manpower, S.A. de C.V.",CDMX
Auditor Ejecutivo/Data Analyst,,Randstad,CDMX
Cyber Security Data Analyst,"$30,000 - $35,000  Mensual",,CDMX
Customer Master Data Analyst,,SSS CARRIER S DE RL DE CV,N.L.
Data Analytics Analyst,,"American Express Company México, S...",Ciudad de México
Data Governance Analyst,,Pepsico División Foods,México
Data Quality Analyst,"$50,000 - $60,000  Mensual","Atento Servicios, S. A. de C.V.",CDMX
BI Data Quality Analyst,,GM FINANCIAL.,N.L.
Commercial Data Governance Analyst,,Pepsico División Foods,México
Analista Junior de Ingeniería de Datos (Junior Data Analyst),,Banamex,Ciudad de México
Analista Senior de Ingeniería de Datos (Senior Data Analyst),,Banamex,Ciudad de México
Business Analyst / Data Scientist,,Banamex,Ciudad de México
Data Science Senior Analyst,,Banamex,México
Data Architecture Lead Analyst,,Banamex,Ciudad de México
• Order Entry /Data Entry Analyst,"$16,000 - $18,000  Mensual",Grupo Assa Abloy,Jal.
Master Data Management Analyst (Ingles-Portugues),,Vertiv Mexico,N.L.
Data Solutions Management Analyst-1,,Banamex,Ciudad de México
Master Data Management Sr. Analyst,,Banamex,Ciudad de México
eCommerce Functional Analyst/Data Analytics,,Softtek,México
Info Sec Engineering Analyst – Data Protection / C12 (Divestiture),,Banamex,Ciudad de México
Info Sec Engineering Lead Analyst – Mainframe Data Protection / C13 (Divestiture),,Banamex,Ciudad de México
Recién Egresado Sistemas Computacionales INGLÉS AVANZADO / PAM Data Center Infrastructure Analyst 1 / C09 / R22052921,,Banamex,Querétaro
Data Warehouse Sr. Consultant,,Banamex,Ciudad de México
Data Warehouse Sr. Consultant,,Banamex,Ciudad de México
Campaign Strategy Intermediate Analyst,,Banamex,Ciudad de México
PAMIT Business Analyst,,Banamex,Ciudad de México
Compl Regulatory Inventory Support Sr Analyst,,Banamex,Ciudad de México
Abogado Regulatorio- Consumo (GCB),,Banamex,México
Real Estate Risk Analyst II,,Banamex,México
Space Management Requirement,,Tata Consultancy Services,México
Data Architect Lead,,Banamex,Ciudad de México
Sales Operations Analyst,"$23,000 - $23,100  Mensual","SSBCC México, S. de R.L. de C.V.",BC.
Business Intelligence Analyst,,Loréal México,México
Online Marketing Reporting Analyst,,UVI TECH SAPI DE CV,Ciudad de México
Vacante Gerencia de Producto MSI,,Banamex,Ciudad de México
Tech Owner Content Management,,Banamex,Ciudad de México
Regulatory Report R29,,Banamex,Ciudad de México
Treasury Risk Analyst Afore C10,,Banamex,Ciudad de México
